,taxon,key
0,Sylvilagus floridanus,2436886
1,Otospermophilus douglasii,4827939
2,Otopermophilus beecheyi,8080937
3,Otospermophilus variegatus,7572569
4,Callospermophilus madrensis,8228292
5,Callospermophilus saturatus,8102496
6,Callospermophilus lateralis,7593288
7,Urocitellus beldingi,8428945
8,Urocitellus armatus,8151861
9,Urocitellus richardsonii,7905336
10,Urocitellus elegans,7404826
11,Urocitellus parryii,8303143
12,Urocitellus columbianus,7786966
13,Urocitellus washingtoni,8055765
14,Urocitellus mollis,7666001
15,Urocitellus canus,7548484
16,Urocitellus townsendii,8028887
17,Urocitellus idahoensis,4827933
18,Urocitellus brunneus,7640191
19,Xerospermophilus tereticaudus,8032606
20,Xerospermophilus mohavensis,7781204
21,Xerospermophilus spilosoma,8299308
22,Xerospermophilus perotensis,7410386
23,Cynomys leucurus,2437233
24,Cynomys gunnisoni,2437236
25,Cynomys parvidens,2437235
26,Cynomys ludovicianus,2437232
27,Cynomys mexicanus,2437234
28,Polocitellus franklinii,4827937
29,Marmota flaviventris,2437369
30,Marmota caligata,2437378
31,Marmota vancouverensis,2437365
32,Marmota olympus,2437374
33,Marmota broweri,2437373
34,Marmota monax,2437368
35,Ictidomys parvidens,7509415
36,Ictidomys mexicanus,7679679
37,Ictidomys tridecemlineatus,7994322
38,Ammospermophilus harrisii,2437568
39,Ammospermophilus interpres,2437571
40,Ammospermophilus leucurus,2437570
41,Notocitellus annulatus,7982454
42,Notocitellus adocetus,7478670
43,Neotamias siskiyou,9456
44,Neotamias amoenus,4972377
45,Neotamias quadrimaculatus,4972373
46,Neotamias minimus,5786642
47,Neotamias speciosus,4972383
48,Neotamias panamintinus,4972387
49,Neotamias alpinus,4972369
50,Neotamias ruficaudus,4972388
51,Neotamias canipes,9456
52,Neotamias bulleri,4972384
53,Neotamias rufus,9456
54,Neotamias umbrinus,4972376
55,Neotamias quadrivittatus,4972381
56,Neotamias cinereicollis,4972378
57,Neotamias palmeri,11052676
58,Neotamias dorsalis,4972385
59,Neotamias durangae,4972371
60,Neotamias obscurus,4972372
61,Neotamias merriami,4972386
62,Neotamias sonomae,4972375
63,Neotamias senex,4972382
64,Tamias striatus,2437438
65,Neotamias townsendii,4972390
66,Neotamias ochrogenys,9456
67,Glaucomys volans,2437338
68,Glaucomys sabrinus,2437331
69,Glaucomys oregonensis,2437330
70,Sciurus griseus,5219672
71,Sciurus yucatanensis,5219678
72,Sciurus variegatoides,5219677
73,Sciurus colliaei,5219660
74,Sciurus aureogaster,5219663
75,Sciurus oculatus,5219664
76,Sciurus deppei,5219680
77,Sciurus arizonensis,5219674
78,Sciurus nayaritensis,5219669
79,Sciurus niger,5219683
80,Sciurus carolinensis,5219681
81,Sciurus aberti,5219667
82,Tamiasciurus fremonti,12038888
83,Tamiasciurus douglasii,2437281
84,Tamiasciurus hudsonicus,2437282
85,Aplodontia rufa,2439690
86,Zapus princeps,2439473
87,Zapus oregonus,2439466
