Alexandromys oeconomus
Ammospermophilus harrisii
Ammospermophilus interpres
Ammospermophilus leucurus
Aplodontia rufa
Baiomys taylori
Callospermophilus lateralis
Callospermophilus saturatus
Castor canadensis
Chaetodipus californicus
Chaetodipus fallax
Chaetodipus hispidus
Chaetodipus penicillatus
Chaetodipus spinatus
Clethrionomys gapperi
Clethrionomys rutilus
Coendou mexicanus
Cratogeomys castanops
Cratogeomys fumosus
Cratogeomys merriami
Cuniculus paca
Cynomys gunnisoni
Cynomys leucurus
Cynomys ludovicianus
Cynomys mexicanus
Cynomys parvidens
Dasyprocta punctata
Dicrostonyx groenlandicus
Dipodomys californicus
Dipodomys deserti
Dipodomys heermanni
Dipodomys ingens
Dipodomys merriami
Dipodomys ordii
Dipodomys simulans
Dipodomys spectabilis
Erethizon dorsatum
Geomys attwateri
Geomys breviceps
Geomys bursarius
Geomys personatus
Geomys pinetis
Geomys texensis
Glaucomys oregonensis
Glaucomys sabrinus
Glaucomys volans
Heterogeomys hispidus
Heteromys irroratus
Ictidomys mexicanus
Ictidomys parvidens
Ictidomys tridecemlineatus
Lemmus trimucronatus
Marmota caligata
Marmota flaviventris
Marmota monax
Marmota olympus
Marmota vancouverensis
Megascapheus atrovarius
Megascapheus bottae
Megascapheus bulbivorus
Megascapheus nayarensis
Megascapheus sheldoni
Megascapheus townsendii
Megascapheus umbrinus
Microtus californicus
Microtus drummondii
Microtus dukecampbelli
Microtus ochrogaster
Microtus pennsylvanicus
Microtus pinetorum
Microtus townsendii
Mus musculus
Myocastor coypus
Napaeozapus insignis
Neotamias amoenus
Neotamias canipes
Neotamias cinereicollis
Neotamias dorsalis
Neotamias merriami
Neotamias minimus
Neotamias obscurus
Neotamias ochrogenys
Neotamias palmeri
Neotamias quadrimaculatus
Neotamias quadrivittatus
Neotamias rufus
Neotamias senex
Neotamias siskiyou
Neotamias sonomae
Neotamias speciosus
Neotamias townsendii
Neotamias umbrinus
Neotoma albigula
Neotoma bryanti
Neotoma cinerea
Neotoma floridana
Neotoma fuscipes
Neotoma lepida
Neotoma macrotis
Neotoma mexicana
Neotoma micropus
Notocitellus adocetus
Notocitellus annulatus
Nyctomys sumichrasti
Ochrotomys nuttalli
Ondatra zibethicus
Otopermophilus beecheyi
Otospermophilus douglasii
Otospermophilus variegatus
Ototylomys phyllotis
Perognathus flavus
Perognathus merriami
Perognathus parvus
Peromyscus avius
Peromyscus boylii
Peromyscus californicus
Peromyscus ensinki
Peromyscus eremicus
Peromyscus fraterculus
Peromyscus gambelli
Peromyscus gossypinus
Peromyscus greenbaumi
Peromyscus leucopus
Peromyscus maniculatus
Peromyscus purepechus
Peromyscus sonoriensis
Peromyscus totontepecus
Peromyscus truei
Rattus norvegicus
Rattus rattus
Reithrodontomys megalotis
Sciurus aberti
Sciurus arizonensis
Sciurus aureogaster
Sciurus carolinensis
Sciurus colliaei
Sciurus deppei
Sciurus griseus
Sciurus nayaritensis
Sciurus niger
Sciurus oculatus
Sciurus variegatoides
Sciurus yucatanensis
Sigmodon arizonae
Sigmodon hispidus
Sigmodon leucotis
Sigmodon ochrognathus
Sylvilagus floridanus
Tamias striatus
Tamiasciurus douglasii
Tamiasciurus fremonti
Tamiasciurus hudsonicus
Thomomys talpoides
Urocitellus armatus
Urocitellus beldingi
Urocitellus columbianus
Urocitellus elegans
Urocitellus idahoensis
Urocitellus parryii
Urocitellus richardsonii
Xerospermophilus spilosoma
Xerospermophilus tereticaudus
Zapus hudsonius
Zapus montanus
Zapus oregonus
Zapus trinotatus
